system:index,Count,DOY,Year,.geo
0_15,3,52.57658163,2003,
0_16,1,56.99491015,2003,
0_17,0,62.5,2003,
0_18,1,66.0011364,2003,
0_19,5,72.88064076,2003,
0_20,9,78.38141234,2003,
0_21,19,82.68932537,2003,
0_22,24,87.87698815,2003,
0_23,30,92.49473113,2003,
0_24,44,97.25678243,2003,
0_25,60,102.4262275,2003,
0_26,56,107.3107588,2003,
0_27,53,112.3110369,2003,
0_28,48,117.5971172,2003,
0_29,44,122.5331492,2003,
0_30,23,127.6283838,2003,
0_31,8,131.8484882,2003,
0_32,6,136.5360572,2003,
0_33,0,142.5,2003,
0_34,1,149.8907837,2003,
1_2,3,53.46761922,2004,
1_3,7,58.78645416,2004,
1_4,10,62.99564465,2004,
1_5,8,68.39492865,2004,
1_6,44,72.81137212,2004,
1_7,84,77.57539895,2004,
1_8,75,82.59667087,2004,
1_9,64,87.18238607,2004,
1_10,40,92.64053629,2004,
1_11,24,97.77416483,2004,
1_12,25,102.7543269,2004,
1_13,16,107.7067244,2004,
1_14,15,113.2608624,2004,
1_15,17,117.6755648,2004,
1_16,14,121.7538288,2004,
1_17,5,127.251404,2004,
1_18,2,130.6569967,2004,
1_19,0,137.5,2004,
1_20,1,144.7129286,2004,
1_21,1,145.5493858,2004,
2_15,2,53.97644318,2005,
2_16,2,59.34420385,2005,
2_17,1,63.53694425,2005,
2_18,6,68.06570098,2005,
2_19,8,72.35299955,2005,
2_20,20,77.56861056,2005,
2_21,37,83.3302753,2005,
2_22,68,87.69732387,2005,
2_23,85,92.56196609,2005,
2_24,61,97.24670144,2005,
2_25,79,102.2366225,2005,
2_26,38,107.6165712,2005,
2_27,40,112.6565497,2005,
2_28,36,117.039995,2005,
2_29,14,122.8249213,2005,
2_30,6,127.1125858,2005,
2_31,3,133.0847679,2005,
2_32,2,136.8222414,2005,
2_33,2,143.9422476,2005,
2_34,0,147.5,2005,
3_10,13,52.34351018,2006,
3_11,13,58.66569155,2006,
3_12,14,61.89969437,2006,
3_13,20,67.1177476,2006,
3_14,26,72.15660121,2006,
3_15,51,77.92621553,2006,
3_16,97,82.70504075,2006,
3_17,115,87.35062656,2006,
3_18,90,91.99246193,2006,
3_19,30,97.34628907,2006,
3_20,19,102.5096722,2006,
3_21,14,107.5040734,2006,
3_22,3,112.3794303,2006,
3_23,3,117.1120221,2006,
3_24,3,123.3443099,2006,
3_25,3,128.0945016,2006,
3_26,1,132.5941447,2006,
4_3,4,53.52451585,2007,
4_4,10,56.68026107,2007,
4_5,21,62.08871532,2007,
4_6,35,67.51689682,2007,
4_7,63,72.63038089,2007,
4_8,105,77.46484834,2007,
4_9,109,82.51323446,2007,
4_10,70,87.1695396,2007,
4_11,61,92.29086139,2007,
4_12,27,97.18534497,2007,
4_13,25,102.0678202,2007,
4_14,11,107.6790491,2007,
4_15,9,111.8123784,2007,
4_16,5,117.2309563,2007,
4_17,5,121.7453631,2007,
4_18,0,127.5,2007,
4_19,1,131.0463931,2007,
5_2,0,52.5,2008,
5_3,2,59.12661322,2008,
5_4,11,62.41770626,2008,
5_5,8,68.13120473,2008,
5_6,33,72.58551316,2008,
5_7,58,78.04067452,2008,
5_8,63,82.30029925,2008,
5_9,53,87.46348867,2008,
5_10,84,92.59498979,2008,
5_11,62,97.64404416,2008,
5_12,80,102.3037539,2008,
5_13,46,107.1670497,2008,
5_14,44,112.3380993,2008,
5_15,37,117.239866,2008,
5_16,10,122.0224811,2008,
5_17,0,127.5,2008,
5_18,2,131.7367708,2008,
5_19,0,137.5,2008,
5_20,0,142.5,2008,
5_21,0,147.5,2008,
6_9,10,53.01589541,2009,
6_10,12,57.70388038,2009,
6_11,18,62.26179497,2009,
6_12,21,67.71668553,2009,
6_13,23,73.14903289,2009,
6_14,45,77.5277673,2009,
6_15,95,82.5649704,2009,
6_16,96,87.24140567,2009,
6_17,76,92.28530529,2009,
6_18,55,97.22979841,2009,
6_19,38,102.3499283,2009,
6_20,36,107.7838917,2009,
6_21,37,112.3150043,2009,
6_22,15,117.3451729,2009,
6_23,8,121.7389093,2009,
6_24,2,128.054752,2009,
6_25,1,133.127648,2009,
7_22,2,52.10444872,2010,
7_23,16,57.54800922,2010,
7_24,21,62.9409303,2010,
7_25,41,67.67623748,2010,
7_26,79,72.56128472,2010,
7_27,139,77.58155435,2010,
7_28,108,82.54615215,2010,
7_29,73,87.3781434,2010,
7_30,31,92.44955814,2010,
7_31,37,97.24537817,2010,
7_32,24,101.9811577,2010,
7_33,8,107.6266683,2010,
7_34,5,111.6163285,2010,
7_35,3,116.7793757,2010,
7_36,4,122.9941931,2010,
7_37,2,129.3513049,2010,
8_0,4,61.3168678,2011,
8_1,1,65.40199951,2011,
8_2,4,74.20372787,2011,
8_3,14,77.89316183,2011,
8_4,17,82.44000696,2011,
8_5,61,87.78279251,2011,
8_6,116,92.509844,2011,
8_7,114,97.34469846,2011,
8_8,110,102.3491086,2011,
8_9,98,107.3396461,2011,
8_10,43,112.0148635,2011,
8_11,18,117.3079138,2011,
8_12,11,121.8388909,2011,
8_13,3,128.4434467,2011,
8_14,2,130.1445189,2011,
8_15,0,137.5,2011,
8_16,0,142.5,2011,
8_17,0,147.5,2011,
9_6,1,52.44389855,2012,
9_7,2,58.70377231,2012,
9_8,4,62.63796661,2012,
9_9,4,68.68251181,2012,
